Rk,Name,Age,Tm,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru,Name-additional
110,Jair Camargo,24,MIN,7,28,4.00,18,64.3%,38.9%,27.8%,16.7%,16.7%,61.1%,0.0%,39.3%,54.5%,28.6%,0.0%,0,0,14.3%,1,0,14.3%,1,1,1,2,33.3%,0,0,0,camarja01
111,Daz Cameron,27,OAK,186,715,3.84,470,65.5%,24.9%,21.1%,27.7%,25.7%,74.5%,0.0%,49.0%,71.1%,32.8%,3.8%,7,1,14.5%,27,12,6.5%,12,8,13,38,25.5%,0,0,0,camerda01
112,Junior Caminero,20,TBR,177,629,3.55,414,65.0%,27.3%,22.9%,18.8%,30.7%,72.5%,0.0%,47.7%,68.1%,26.0%,5.1%,9,2,13.6%,24,11,5.1%,9,4,7,31,18.4%,0,0,0,caminju01
113,Gustavo Campero#,26,LAA,48,177,3.69,127,71.3%,18.9%,18.1%,33.1%,29.9%,81.1%,0.0%,58.2%,77.7%,41.7%,2.1%,1,0,6.3%,3,2,2.1%,1,1,1,7,12.5%,0,0,0,campegu01
114,Luis Campusano,25,SDP,299,1025,3.43,678,66.1%,23.0%,15.8%,26.3%,35.0%,77.0%,0.0%,50.9%,79.5%,35.1%,3.7%,11,0,11.4%,34,15,8.0%,24,14,6,35,14.6%,0,0,0,campulu01
115,Alexander Canario,24,CHC,28,101,3.61,65,64.4%,27.7%,32.3%,18.5%,21.5%,72.3%,0.0%,46.5%,55.3%,39.3%,0.0%,0,0,7.1%,2,2,7.1%,2,1,1,10,9.1%,0,0,0,canaral01
116,Jeimer Candelario#,30,CIN,464,1781,3.84,1164,65.3%,21.0%,23.0%,28.9%,27.1%,79.0%,0.0%,51.7%,70.9%,38.6%,3.4%,16,3,11.9%,55,27,7.1%,33,20,22,92,19.3%,0,0,0,candeje01
117,Mark Canha,35,TOT,464,1946,4.19,1232,63.0%,34.3%,14.3%,26.9%,24.5%,65.7%,0.0%,41.6%,78.2%,19.2%,3.4%,16,0,12.5%,58,26,11.6%,54,15,24,72,25.0%,0,0,0,canhama01
118,Mark Canha,35,DET,379,1554,4.10,974,62.3%,35.5%,14.8%,24.5%,25.2%,64.5%,0.0%,40.4%,77.1%,17.9%,3.4%,13,0,13.5%,51,24,11.1%,42,14,18,61,22.8%,0,0,0,canhama01
119,Mark Canha,35,SFG,85,392,4.61,258,65.6%,29.8%,12.4%,35.7%,22.1%,70.2%,0.0%,46.2%,82.3%,24.7%,3.5%,3,0,8.2%,7,2,14.1%,12,1,6,11,35.3%,0,0,0,canhama01
120,Dominic Canzone*,26,SEA,188,696,3.70,470,66.8%,22.8%,26.6%,25.7%,24.9%,77.2%,0.0%,52.2%,65.6%,42.0%,3.7%,7,0,11.7%,22,9,8.0%,15,8,12,41,22.6%,0,0,0,canzodo01
121,Conner Capel*,27,CIN,8,25,3.13,19,76.0%,15.8%,21.1%,31.6%,31.6%,84.2%,0.0%,64.0%,75.0%,50.0%,0.0%,0,0,0.0%,0,0,12.5%,1,1,0,2,0.0%,0,0,0,capelco01
122,Vinny Capra,27,MIL,9,32,3.56,25,78.1%,28.0%,24.0%,24.0%,24.0%,72.0%,0.0%,56.3%,66.7%,33.3%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,3,0.0%,0,0,0,capravi01
123,Victor Caratini#,30,HOU,276,1039,3.76,662,63.4%,26.0%,17.2%,27.3%,29.5%,74.0%,0.0%,47.2%,76.7%,28.3%,5.8%,16,1,15.2%,42,20,10.1%,28,18,14,39,26.4%,0,0,0,caratvi01
124,Dylan Carlson#,25,TOT,266,1110,4.17,704,63.3%,24.0%,23.6%,29.3%,23.2%,76.0%,0.0%,48.2%,69.0%,35.3%,2.3%,6,1,9.0%,24,15,10.9%,29,18,19,56,25.3%,0,0,0,carlsdy01
125,Dylan Carlson#,25,STL,139,560,4.03,362,64.4%,22.9%,25.7%,27.3%,24.0%,77.1%,0.0%,49.8%,66.7%,37.4%,2.9%,4,1,8.6%,12,8,12.2%,17,10,7,30,18.9%,0,0,0,carlsdy01
126,Dylan Carlson#,25,TBR,127,550,4.33,342,62.2%,25.1%,21.3%,31.3%,22.2%,74.9%,0.0%,46.5%,71.5%,33.1%,1.6%,2,0,9.4%,12,7,9.4%,12,8,12,26,31.6%,0,0,0,carlsdy01
127,Kerry Carpenter*,26,DET,296,1131,3.82,734,64.6%,22.2%,23.4%,27.8%,26.6%,77.8%,0.0%,50.5%,69.9%,27.7%,3.4%,10,3,14.9%,44,27,5.7%,17,10,10,65,13.3%,0,0,0,carpeke01
128,Matt Carpenter*,38,STL,157,669,4.26,415,61.8%,31.6%,19.8%,27.2%,21.4%,68.4%,0.0%,42.5%,71.1%,22.3%,6.4%,10,0,16.6%,26,9,12.1%,19,10,18,33,35.3%,0,0,0,carpema01
129,Corbin Carroll*,23,ARI,684,2648,3.87,1609,60.7%,31.9%,13.9%,25.0%,29.3%,68.1%,0.0%,41.4%,79.7%,25.6%,6.7%,46,1,17.0%,116,23,12.7%,87,51,51,79,39.2%,0,0,0,carroco02
130,Evan Carter*,21,TEX,162,648,4.00,392,60.4%,36.7%,14.8%,22.4%,26.0%,63.3%,0.0%,38.3%,76.6%,26.5%,4.3%,7,1,14.2%,23,8,11.7%,19,10,21,22,48.8%,0,0,0,carteev01
131,Curt Casali,35,SFG,126,476,3.78,289,60.6%,28.7%,13.8%,27.0%,30.4%,71.3%,0.0%,43.3%,80.6%,32.5%,4.8%,6,0,11.1%,14,5,7.9%,10,5,9,13,40.9%,0,0,0,casalcu01
132,Triston Casas*,24,BOS,244,991,4.06,618,61.6%,28.5%,23.0%,26.5%,21.8%,71.4%,0.0%,44.5%,67.6%,27.5%,5.3%,13,0,14.8%,36,17,8.6%,21,10,30,46,39.5%,0,0,0,casastr01
133,Nick Castellanos,32,PHI,663,2344,3.54,1601,68.0%,14.9%,25.6%,30.0%,29.3%,84.9%,0.0%,58.0%,69.7%,50.7%,2.7%,18,2,8.9%,59,33,5.1%,34,24,30,108,21.7%,0,0,0,casteni01
134,Diego Castillo,26,MIN,8,36,4.50,22,61.1%,59.1%,4.5%,13.6%,22.7%,40.9%,0.0%,25.0%,88.9%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,0,100.0%,0,0,0,castidi02
135,Luis Castillo,31,SEA,1,3,3.00,3,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,0,100.0%,0,0,0,castilu02
136,Willi Castro#,27,MIN,638,2509,3.93,1647,65.6%,21.7%,22.7%,30.5%,25.1%,78.3%,0.0%,51.4%,71.0%,35.7%,4.5%,29,0,10.8%,69,27,7.1%,45,37,40,110,26.7%,0,0,0,castrwi01
137,Jake Cave*,31,COL,347,1345,3.88,905,67.0%,21.7%,22.1%,30.8%,25.3%,78.2%,0.0%,52.6%,71.7%,31.4%,1.7%,6,1,8.9%,31,22,4.9%,17,10,24,74,24.5%,0,0,0,caveja01
138,Andrés Chaparro,25,WSN,134,525,3.92,343,65.3%,17.8%,20.4%,33.5%,28.3%,82.2%,0.0%,53.7%,75.2%,44.8%,1.5%,2,0,7.5%,10,8,5.2%,7,7,4,20,16.7%,0,0,0,chapaan01
139,Matt Chapman,31,SFG,650,2706,4.16,1728,63.5%,30.1%,16.4%,29.2%,24.2%,69.8%,0.0%,44.6%,76.4%,27.5%,3.8%,25,3,11.1%,72,20,10.8%,70,37,50,108,31.6%,0,0,0,chapmma01
140,Jazz Chisholm Jr.*,26,TOT,621,2495,4.02,1569,62.3%,24.4%,22.2%,27.2%,26.3%,75.6%,0.0%,47.5%,70.7%,32.2%,4.5%,28,5,14.3%,89,33,9.0%,56,35,30,122,19.7%,0,0,0,chishja01
141,Jazz Chisholm Jr.*,26,MIA,430,1742,4.05,1083,61.3%,23.2%,22.1%,28.9%,25.9%,76.8%,0.0%,47.8%,71.3%,33.0%,5.1%,22,3,15.6%,67,24,8.6%,37,19,22,85,20.6%,0,0,0,chishja01
142,Jazz Chisholm Jr.*,26,NYY,191,753,3.94,486,64.5%,27.2%,22.4%,23.3%,27.2%,72.8%,0.0%,47.0%,69.2%,30.4%,3.1%,6,2,11.5%,22,9,9.9%,19,16,8,37,17.8%,0,0,0,chishja01
143,Jackson Chourio,20,MIL,573,2103,3.67,1398,65.9%,26.5%,19.9%,24.2%,29.3%,73.5%,0.0%,48.8%,72.9%,33.5%,4.0%,23,0,13.4%,77,20,7.0%,40,22,18,103,14.9%,0,0,0,chourja01
144,Jonatan Clase#,22,TOT,66,267,4.05,179,66.8%,24.6%,19.0%,31.8%,24.6%,75.4%,0.0%,50.6%,74.8%,39.4%,1.5%,1,0,9.1%,6,3,6.1%,4,1,6,11,35.3%,0,0,0,clasejo01
145,Jonatan Clase#,22,SEA,43,166,3.86,112,67.1%,22.3%,22.3%,31.3%,24.1%,77.7%,0.0%,52.4%,71.3%,46.5%,0.0%,0,0,9.3%,4,3,4.7%,2,1,6,8,42.9%,0,0,0,clasejo01
146,Jonatan Clase#,22,TOR,23,101,4.39,67,66.3%,28.4%,13.4%,32.8%,25.4%,71.6%,0.0%,47.5%,81.3%,26.1%,4.3%,1,0,8.7%,2,0,8.7%,2,0,0,3,0.0%,0,0,0,clasejo01
147,Kody Clemens*,28,PHI,120,468,3.90,312,66.7%,26.3%,18.9%,27.6%,27.2%,73.7%,0.0%,49.1%,74.3%,18.3%,2.5%,3,0,12.5%,15,8,10.0%,12,7,3,26,10.3%,0,0,0,clemeko01
148,Ernie Clement,28,TOR,452,1449,3.21,1068,73.7%,22.7%,11.1%,29.0%,37.2%,77.3%,0.0%,57.0%,85.6%,41.8%,2.0%,9,0,7.3%,33,11,3.5%,16,7,5,36,12.2%,0,0,0,clemeer01
149,Oscar Colás*,25,CHW,38,144,3.79,100,69.4%,25.0%,19.0%,33.0%,23.0%,75.0%,0.0%,52.1%,74.7%,28.9%,5.3%,2,0,13.2%,5,3,7.9%,3,2,3,7,30.0%,0,0,0,colasos01
150,Isaac Collins#,26,MIL,19,87,4.58,52,59.8%,32.7%,26.9%,26.9%,13.5%,67.3%,0.0%,40.2%,60.0%,15.8%,5.3%,1,0,15.8%,3,1,21.1%,4,3,3,7,30.0%,0,0,0,colliis01
151,Michael Conforto*,31,SFG,488,1965,4.03,1240,63.0%,29.0%,17.9%,27.1%,26.0%,71.0%,0.0%,44.8%,74.8%,26.2%,4.9%,24,3,13.3%,65,25,9.4%,46,28,36,82,30.5%,0,0,0,confomi01
152,Griffin Conine*,26,MIA,89,334,3.75,225,67.4%,21.8%,22.2%,32.0%,24.0%,78.2%,0.0%,52.7%,71.6%,32.6%,3.4%,3,0,5.6%,5,1,5.6%,5,4,7,21,25.0%,0,0,0,coningr01
153,William Contreras,26,MIL,679,2677,3.94,1631,60.5%,22.3%,21.6%,28.0%,28.1%,77.7%,0.0%,47.4%,72.2%,37.1%,5.6%,38,9,15.6%,106,37,12.4%,84,40,25,114,18.0%,0,0,0,contrwi02
154,Willson Contreras,32,STL,358,1382,3.86,877,63.0%,21.6%,27.5%,27.6%,23.4%,78.4%,0.0%,49.8%,65.0%,41.6%,3.9%,14,2,13.1%,47,18,9.5%,34,16,20,76,20.8%,0,0,0,contrwi01
155,Billy Cook,25,PIT,49,184,3.76,131,71.2%,17.6%,32.8%,26.7%,22.9%,82.4%,0.0%,58.7%,60.2%,53.1%,2.0%,1,0,10.2%,5,2,6.1%,3,2,3,16,15.8%,0,0,0,cookbi01
156,Garrett Cooper,33,TOT,116,450,3.88,300,66.7%,30.0%,20.7%,25.3%,24.0%,70.0%,0.0%,46.7%,70.5%,29.3%,5.2%,6,0,10.3%,12,5,9.5%,11,3,8,27,22.9%,0,0,0,coopega03
157,Garrett Cooper,33,CHC,41,177,4.32,116,65.5%,31.9%,21.6%,25.9%,20.7%,68.1%,0.0%,44.6%,68.4%,26.8%,7.3%,3,0,12.2%,5,2,14.6%,6,1,2,11,15.4%,0,0,0,coopega03
158,Garrett Cooper,33,BOS,75,273,3.64,184,67.4%,28.8%,20.1%,25.0%,26.1%,71.2%,0.0%,48.0%,71.8%,30.7%,4.0%,3,0,9.3%,7,3,6.7%,5,2,6,16,27.3%,0,0,0,coopega03
159,Carlos Correa,29,MIN,368,1375,3.74,864,62.2%,29.1%,14.5%,26.0%,30.4%,70.9%,0.0%,44.6%,79.6%,33.2%,6.3%,23,2,18.2%,67,22,10.3%,38,18,22,39,36.1%,0,0,0,correca01
160,Colton Cowser*,24,BAL,564,2311,4.10,1465,63.1%,29.8%,21.4%,26.3%,22.5%,70.2%,0.0%,44.5%,69.6%,25.7%,5.5%,31,2,16.0%,90,35,11.3%,64,30,40,132,23.3%,0,0,0,cowseco01
161,Brandon Crawford*,37,STL,80,318,3.98,212,66.7%,22.6%,27.4%,28.8%,21.2%,77.4%,0.0%,51.6%,64.6%,41.3%,5.0%,4,1,18.8%,15,7,10.0%,8,5,3,23,11.5%,0,0,0,crawfbr01
162,J.P. Crawford*,29,SEA,453,1911,4.22,1170,61.2%,32.8%,13.6%,28.7%,24.9%,67.2%,0.0%,41.1%,79.8%,23.0%,5.5%,25,0,12.8%,58,15,11.3%,51,28,25,77,24.5%,0,0,0,crawfjp01
163,Dylan Crews,22,WSN,133,520,3.91,326,62.6%,28.5%,16.3%,26.1%,28.8%,71.2%,0.0%,44.6%,76.8%,24.8%,3.0%,4,0,15.8%,21,11,8.3%,11,5,12,14,46.2%,0,0,0,crewsdy01
164,Jake Cronenworth*,30,SDP,659,2752,4.18,1725,62.6%,28.2%,12.3%,32.5%,27.0%,71.8%,0.0%,45.0%,82.9%,19.0%,3.0%,20,0,16.1%,106,48,11.2%,74,38,24,94,20.3%,0,0,0,croneja01
165,Pete Crow-Armstrong*,22,CHC,411,1421,3.46,1004,70.5%,14.1%,25.7%,31.8%,28.4%,85.9%,0.0%,60.7%,70.1%,50.6%,1.5%,6,0,6.1%,25,16,3.6%,15,9,17,81,17.3%,0,0,0,crowape01
166,Oneil Cruz*,25,PIT,599,2381,3.97,1531,63.7%,27.8%,24.6%,23.6%,23.8%,72.0%,0.0%,46.3%,65.7%,32.9%,4.5%,27,4,11.2%,67,28,9.0%,54,31,49,130,27.4%,0,0,0,cruzon01
167,Travis d'Arnaud,35,ATL,341,1353,3.97,870,64.2%,21.1%,25.9%,27.5%,25.5%,78.9%,0.0%,50.7%,67.2%,41.3%,2.3%,8,1,12.0%,41,25,8.8%,30,18,21,68,23.6%,0,0,0,darnatr01
168,David Dahl*,30,PHI,63,266,4.22,172,64.7%,16.3%,27.9%,33.7%,22.1%,83.7%,0.0%,54.1%,66.7%,36.5%,0.0%,0,0,11.1%,7,6,1.6%,1,1,5,16,23.8%,0,0,0,dahlda01
169,Bobby Dalbec,29,BOS,93,413,4.44,274,66.0%,28.8%,29.6%,26.3%,15.0%,70.8%,0.0%,47.0%,57.9%,25.8%,5.4%,5,0,16.1%,15,6,7.5%,7,3,13,30,30.2%,0,0,0,dalbebo01
170,Henry Davis,24,PIT,123,521,4.24,321,61.5%,23.7%,27.4%,29.3%,19.6%,76.3%,0.0%,47.0%,64.1%,37.4%,3.3%,4,0,13.0%,16,10,13.8%,17,11,10,35,22.2%,0,0,0,davishe01
171,J.D. Davis,31,TOT,157,587,3.74,386,65.5%,21.5%,27.2%,24.4%,26.7%,78.2%,0.0%,51.4%,65.0%,43.9%,2.5%,4,0,9.6%,15,8,8.3%,13,8,8,31,20.5%,0,0,0,davisjd01
172,J.D. Davis,31,OAK,135,493,3.65,329,66.7%,20.4%,28.0%,23.4%,28.3%,79.6%,0.0%,53.1%,64.9%,45.9%,2.2%,3,0,8.9%,12,7,7.4%,10,6,3,27,10.0%,0,0,0,davisjd01
173,J.D. Davis,31,NYY,22,94,4.27,57,59.4%,28.1%,22.8%,29.8%,17.5%,70.2%,0.0%,42.6%,65.9%,31.8%,4.5%,1,0,13.6%,3,1,13.6%,3,2,5,4,55.6%,0,0,0,davisjd01
174,Bryan De La Cruz,27,TOT,623,2394,3.84,1603,66.8%,20.2%,24.0%,29.6%,26.2%,79.8%,0.0%,53.4%,69.9%,38.2%,2.1%,13,0,10.4%,65,40,6.6%,41,30,15,155,8.8%,0,0,0,delacbr01
175,Bryan De La Cruz,27,MIA,455,1749,3.84,1168,66.6%,19.6%,23.4%,30.6%,26.5%,80.4%,0.0%,53.7%,70.9%,37.6%,2.6%,12,0,11.4%,52,32,7.3%,33,23,9,109,7.6%,0,0,0,delacbr01
176,Bryan De La Cruz,27,PIT,168,645,3.84,435,67.4%,21.8%,25.7%,26.9%,25.5%,78.2%,0.0%,52.7%,67.1%,39.9%,0.6%,1,0,7.7%,13,8,4.8%,8,7,6,46,11.5%,0,0,0,delacbr01
177,Elly De La Cruz#,22,CIN,697,2751,3.95,1708,61.8%,30.1%,23.3%,23.0%,23.6%,69.8%,0.0%,43.4%,66.6%,33.3%,5.3%,37,6,14.3%,100,36,11.5%,80,36,65,153,29.8%,0,0,0,delacel01
178,Luis De Los Santos,26,TOR,31,121,3.90,79,65.3%,32.9%,17.7%,25.3%,24.1%,67.1%,0.0%,43.8%,73.6%,32.3%,0.0%,0,0,9.7%,3,1,12.9%,4,2,6,4,60.0%,0,0,0,deloslu03
179,Paul DeJong,30,TOT,482,1851,3.84,1268,68.5%,15.3%,29.6%,31.9%,23.2%,84.7%,0.0%,58.0%,65.1%,37.8%,1.5%,7,0,7.3%,35,23,3.1%,15,9,10,146,6.4%,0,0,0,dejonpa01
180,Paul DeJong,30,CHW,363,1379,3.80,947,68.7%,14.9%,28.6%,32.4%,24.1%,85.1%,0.0%,58.4%,66.4%,38.0%,0.8%,3,0,5.5%,20,14,2.8%,10,7,10,102,8.9%,0,0,0,dejonpa01
181,Paul DeJong,30,KCR,119,472,3.97,321,68.0%,16.5%,32.4%,30.5%,20.6%,83.5%,0.0%,56.8%,61.2%,37.0%,3.4%,4,0,12.6%,15,9,4.2%,5,2,0,44,0.0%,0,0,0,dejonpa01
182,Adrian Del Castillo*,24,ARI,88,336,3.82,226,67.1%,25.7%,23.0%,27.9%,23.0%,73.9%,0.0%,49.7%,68.5%,26.1%,2.3%,2,1,9.1%,8,5,6.8%,6,3,7,21,25.0%,0,0,0,delcaad01
183,Jason Delay,29,PIT,19,50,2.63,30,60.0%,13.3%,20.0%,13.3%,53.3%,86.7%,0.0%,52.0%,76.9%,42.1%,5.3%,1,0,15.8%,3,2,5.3%,1,0,0,0,,0,0,0,delayja01
184,Zach DeLoach*,25,CHW,75,298,3.97,193,64.5%,22.8%,21.2%,31.6%,23.8%,76.7%,0.0%,49.7%,71.8%,36.0%,2.7%,2,2,13.3%,10,6,10.7%,8,6,5,16,23.8%,0,0,0,deloaza01
185,Jonny DeLuca,25,TBR,364,1345,3.70,911,67.5%,20.4%,19.1%,32.2%,28.2%,79.5%,0.0%,53.8%,75.9%,42.0%,3.6%,13,0,8.5%,31,10,4.4%,16,7,23,54,29.9%,0,0,0,delucjo01
186,José Devers*,24,MIA,4,18,4.50,11,61.1%,36.4%,9.1%,27.3%,27.3%,63.6%,0.0%,38.9%,85.7%,75.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,0,100.0%,0,0,0,deverjo01
187,Rafael Devers*,27,BOS,601,2375,3.95,1501,61.7%,19.5%,24.9%,30.1%,25.6%,80.5%,0.0%,50.9%,69.1%,34.6%,5.7%,34,5,15.0%,90,42,8.3%,50,34,26,121,17.7%,0,0,0,deverra01
188,Zach Dezenzo,24,HOU,65,245,3.77,167,68.2%,24.6%,24.0%,27.5%,24.0%,75.4%,0.0%,51.4%,68.3%,29.2%,1.5%,1,0,7.7%,5,3,4.6%,3,2,3,19,13.6%,0,0,0,dezenza01
189,Aledmys Díaz,33,TOT,34,116,3.41,86,74.1%,23.3%,18.6%,30.2%,27.9%,76.7%,0.0%,56.9%,75.8%,35.3%,5.9%,2,0,14.7%,5,3,5.9%,2,1,1,8,11.1%,0,0,0,diazal02
190,Aledmys Díaz,33,OAK,30,101,3.37,75,74.3%,24.0%,17.3%,29.3%,29.3%,76.0%,0.0%,56.4%,77.2%,36.7%,3.3%,1,0,13.3%,4,3,3.3%,1,0,1,6,14.3%,0,0,0,diazal02
191,Aledmys Díaz,33,HOU,4,15,3.75,11,73.3%,18.2%,27.3%,36.4%,18.2%,81.8%,0.0%,60.0%,66.7%,25.0%,25.0%,1,0,25.0%,1,0,25.0%,1,1,0,2,0.0%,0,0,0,diazal02
192,Elias Díaz,33,TOT,352,1323,3.76,879,66.0%,19.0%,22.5%,29.1%,29.4%,81.0%,0.0%,53.8%,72.2%,37.2%,2.6%,9,0,7.4%,26,14,4.5%,16,10,11,58,15.9%,0,0,0,diazel01
193,Elias Díaz,33,COL,328,1229,3.75,820,66.3%,18.2%,22.7%,29.6%,29.5%,81.8%,0.0%,54.6%,72.3%,38.1%,2.7%,9,0,7.3%,24,13,4.6%,15,10,10,54,15.6%,0,0,0,diazel01
194,Elias Díaz,33,SDP,24,94,3.92,59,62.8%,30.5%,20.3%,22.0%,27.1%,69.5%,0.0%,43.6%,70.7%,25.0%,0.0%,0,0,8.3%,2,1,4.2%,1,0,1,4,20.0%,0,0,0,diazel01
195,Yainer Diaz,25,HOU,622,2128,3.42,1475,69.2%,15.1%,20.3%,31.6%,32.9%,84.9%,0.0%,58.8%,76.0%,44.1%,2.1%,13,2,7.6%,47,28,5.6%,35,25,10,96,9.4%,0,0,0,diazya02
196,Yandy Díaz,32,TBR,622,2460,3.95,1527,62.0%,29.3%,10.0%,29.7%,30.9%,70.7%,0.0%,43.9%,85.8%,24.4%,5.8%,36,0,15.4%,96,32,10.9%,68,33,30,65,31.6%,0,0,0,diazya01
197,Dillon Dingler,25,DET,87,331,3.80,233,70.4%,22.3%,22.3%,32.2%,23.2%,77.7%,0.0%,54.7%,71.3%,33.3%,1.1%,1,0,6.9%,6,4,3.4%,3,2,9,21,30.0%,0,0,0,dingldi01
198,Jasson Domínguez#,21,NYY,67,278,4.15,173,62.2%,20.8%,18.5%,39.3%,21.4%,79.2%,0.0%,49.3%,76.6%,49.3%,6.0%,4,0,13.4%,9,2,13.4%,9,3,5,14,26.3%,0,0,0,dominja01
199,Brendan Donovan*,27,STL,652,2487,3.81,1577,63.4%,30.2%,10.5%,26.8%,32.4%,69.8%,0.0%,44.2%,84.9%,20.7%,3.2%,21,1,12.9%,84,40,8.4%,55,33,27,54,33.3%,0,0,0,donovbr01
200,Brenton Doyle,26,COL,604,2158,3.57,1400,64.8%,20.8%,23.6%,27.0%,28.6%,79.2%,0.0%,51.4%,70.2%,37.4%,2.5%,15,1,8.8%,53,31,4.8%,29,22,42,111,27.5%,0,0,0,doylebr02
201,Logan Driscoll*,26,TBR,37,130,3.51,86,66.2%,16.3%,24.4%,24.4%,34.9%,83.7%,0.0%,55.4%,70.8%,48.6%,2.7%,1,0,13.5%,5,4,10.8%,4,3,2,4,33.3%,0,0,0,drisclo01
202,Brandon Drury,31,LAA,361,1397,3.87,897,64.2%,27.3%,17.7%,27.4%,27.5%,72.7%,0.0%,46.7%,75.6%,38.0%,3.9%,14,2,12.5%,45,22,7.5%,27,19,28,53,34.6%,0,0,0,drurybr01
203,Mauricio Dubón,29,HOU,428,1453,3.39,1038,71.4%,15.9%,15.8%,34.1%,34.2%,84.1%,0.0%,60.1%,81.2%,47.4%,2.3%,10,1,9.6%,41,18,3.7%,16,11,10,45,18.2%,0,0,0,dubonma01
204,Matt Duffy,33,TEX,10,31,3.10,15,48.4%,13.3%,20.0%,26.7%,40.0%,86.7%,0.0%,41.9%,76.9%,20.0%,0.0%,0,0,10.0%,1,1,10.0%,1,0,0,1,0.0%,0,0,0,duffyma01
205,Blake Dunn,25,CIN,29,120,4.14,79,65.8%,31.6%,25.3%,24.1%,19.0%,68.4%,0.0%,45.0%,63.0%,41.4%,0.0%,0,0,6.9%,2,1,6.9%,2,1,6,5,54.5%,0,0,0,dunnbl01
206,Oliver Dunn*,26,MIL,104,418,4.02,271,64.8%,31.7%,24.7%,22.9%,20.7%,68.3%,0.0%,44.3%,63.8%,28.8%,4.8%,5,0,15.4%,16,7,9.6%,10,5,17,23,42.5%,0,0,0,dunnol01
207,Ezequiel Duran,25,TEX,285,1011,3.55,699,69.0%,18.5%,20.2%,31.9%,29.5%,81.5%,0.0%,56.4%,75.3%,48.1%,1.4%,4,0,8.4%,24,12,4.6%,13,6,19,44,30.2%,0,0,0,duranez01
208,Jarren Duran*,27,BOS,739,2844,3.85,1832,64.2%,25.1%,18.6%,28.3%,28.1%,74.9%,0.0%,48.3%,75.2%,26.7%,3.9%,29,0,12.6%,93,23,8.4%,62,39,17,143,10.6%,0,0,0,duranja01
209,Adam Duvall,35,ATL,330,1252,3.79,843,67.2%,27.0%,20.2%,28.4%,24.3%,72.8%,0.0%,49.0%,72.2%,28.5%,2.7%,9,1,9.4%,31,10,5.5%,18,11,25,74,25.3%,0,0,0,duvalad01
210,Tommy Edman#,29,LAD,153,567,3.71,353,62.3%,25.8%,17.8%,24.9%,31.4%,74.2%,0.0%,46.2%,76.0%,28.8%,2.0%,3,0,11.1%,17,10,8.5%,13,5,10,20,33.3%,0,0,0,edmanto01
211,Xavier Edwards#,24,MIA,304,1185,3.90,744,62.4%,24.3%,12.8%,33.6%,29.3%,75.7%,0.0%,47.5%,83.1%,32.2%,3.9%,12,0,12.5%,38,15,7.2%,22,14,20,32,38.5%,0,0,0,edwarxa01
212,Duke Ellis*,26,TOT,5,23,4.60,15,65.2%,33.3%,13.3%,33.3%,20.0%,66.7%,0.0%,43.5%,80.0%,0.0%,0.0%,0,0,20.0%,1,1,0.0%,0,0,2,0,100.0%,0,0,0,ellisdu01
213,Duke Ellis*,26,CHW,4,19,4.75,12,63.2%,33.3%,16.7%,33.3%,16.7%,66.7%,0.0%,42.1%,75.0%,0.0%,0.0%,0,0,25.0%,1,1,0.0%,0,0,2,0,100.0%,0,0,0,ellisdu01
214,Duke Ellis*,26,NYY,1,4,4.00,3,75.0%,33.3%,0.0%,33.3%,33.3%,66.7%,0.0%,50.0%,100.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0,ellisdu01
215,Jerar Encarnacion,26,SFG,119,490,4.12,333,68.0%,28.8%,20.4%,26.7%,24.0%,71.2%,0.0%,48.4%,71.3%,34.5%,1.7%,2,0,5.0%,6,2,9.2%,11,5,7,27,20.6%,0,0,0,encarje01
216,Christian Encarnacion-Strand,24,CIN,123,451,3.67,318,70.5%,20.8%,23.3%,29.9%,26.1%,79.2%,0.0%,55.9%,70.6%,35.8%,3.3%,4,0,8.1%,10,5,4.9%,6,3,6,29,17.1%,0,0,0,encarch01
217,Santiago Espinal,29,CIN,393,1505,3.83,981,64.9%,24.6%,11.1%,32.3%,31.7%,75.1%,0.0%,49.0%,84.9%,29.0%,3.3%,13,2,13.2%,52,25,7.4%,29,15,8,45,14.8%,0,0,0,espinsa01
218,Thairo Estrada,28,SFG,382,1309,3.43,907,69.3%,25.9%,15.2%,26.9%,32.0%,74.1%,0.0%,51.3%,79.5%,31.7%,2.9%,11,0,8.4%,32,14,5.8%,22,17,16,60,21.1%,0,0,0,estrath01
219,Sandro Fabian,26,TEX,5,21,4.20,15,71.4%,13.3%,6.7%,46.7%,33.3%,86.7%,0.0%,61.9%,92.3%,60.0%,20.0%,1,0,20.0%,1,0,20.0%,1,1,0,0,,0,0,0,fabiasa01
